Method,IoU,F1,Class_4_IoU,Class_4_F1,Class_5_IoU,Class_5_F1
Bicubic Baseline,0.8245154632979981,0.9018767453428211,0.9012383875878432,0.9480540614701881,0.7477925390081529,0.8556994292154542
LDSR-S2,0.785452998243154,0.8768358301364654,0.8777328120007911,0.9348857370879466,0.6931731844855168,0.8187859231849842
