representation,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,crop_ndvi_mean,crop_ndvi_std
Native 10m,0.35528749227523804,0.09098713099956512,-0.022911494597792625,0.6251874566078186,0.2782019376754761,0.0732942670583725
Bicubic 2.5m,0.3552900552749634,0.09075597673654556,-0.040169209241867065,0.6248281002044678,,
LDSR 2.5m,0.35557520389556885,0.09084247797727585,-0.07913094758987427,0.6354409456253052,,
